verification_uid,manufacturing_uid,qa_uid,city,asset_id,asset_name,asset_type,package_id,phase,qa_gate_id,qa_stage,hold_point,evidence_required,release_authority,required_result,blocks_successors,verification_source,status
samawah:SAM-ST-002:st-10-civil-structure:VERIFY,samawah:SAM-ST-002:st-10-civil-structure,samawah:SAM-ST-002:qa-24-stations-depots-plant,samawah,SAM-ST-002,line-1-0813-0179,station,st-10-civil-structure,stations,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-EN-003:en-20-energy-commission:VERIFY,samawah:SAM-EN-003:en-20-energy-commission,samawah:SAM-EN-003:qa-25-power-energy,samawah,SAM-EN-003,energy site at line-1-0709-0371,energy,en-20-energy-commission,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-ST-001:st-20-mep-passenger-systems:VERIFY,samawah:SAM-ST-001:st-20-mep-passenger-systems,samawah:SAM-ST-001:qa-24-stations-depots-plant,samawah,SAM-ST-001,الجرعه,station,st-20-mep-passenger-systems,stations,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-DEP-006:dep-20-charging-stabling:VERIFY,samawah:SAM-DEP-006:dep-20-charging-stabling,samawah:SAM-DEP-006:qa-25-power-energy,samawah,SAM-DEP-006,layup-minimal at line-3-0654-0608,depot,dep-20-charging-stabling,depots-production,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-TRK-L1-001:trk-10-survey-utility:VERIFY,samawah:SAM-TRK-L1-001:trk-10-survey-utility,samawah:SAM-TRK-L1-001:qa-20-survey-geotech,samawah,SAM-TRK-L1-001,line-1 section 001,track-section,trk-10-survey-utility,track-civil,qa-20-survey-geotech,pre-construction,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction.","topographic survey, utility scan, borehole/test-pit log, flood/drainage map, ROW constraint register",civil owner engineer,pass,yes,qa_action,required
samawah:SAM-EN-005:en-10-energy-build:VERIFY,samawah:SAM-EN-005:en-10-energy-build,samawah:SAM-EN-005:qa-25-power-energy,samawah,SAM-EN-005,energy site at line-1-0581-0418,energy,en-10-energy-build,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-ST-003:st-10-civil-structure:VERIFY,samawah:SAM-ST-003:st-10-civil-structure,samawah:SAM-ST-003:qa-24-stations-depots-plant,samawah,SAM-ST-003,الطمر الصحي,station,st-10-civil-structure,stations,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-EN-004:en-20-energy-commission:VERIFY,samawah:SAM-EN-004:en-20-energy-commission,samawah:SAM-EN-004:qa-25-power-energy,samawah,SAM-EN-004,energy site at line-1-0639-0411,energy,en-20-energy-commission,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-ST-002:st-20-mep-passenger-systems:VERIFY,samawah:SAM-ST-002:st-20-mep-passenger-systems,samawah:SAM-ST-002:qa-24-stations-depots-plant,samawah,SAM-ST-002,line-1-0813-0179,station,st-20-mep-passenger-systems,stations,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-TRK-L1-002:trk-10-survey-utility:VERIFY,samawah:SAM-TRK-L1-002:trk-10-survey-utility,samawah:SAM-TRK-L1-002:qa-20-survey-geotech,samawah,SAM-TRK-L1-002,line-1 section 002,track-section,trk-10-survey-utility,track-civil,qa-20-survey-geotech,pre-construction,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction.","topographic survey, utility scan, borehole/test-pit log, flood/drainage map, ROW constraint register",civil owner engineer,pass,yes,qa_action,required
samawah:SAM-TRK-L1-001:trk-20-subgrade-drainage:VERIFY,samawah:SAM-TRK-L1-001:trk-20-subgrade-drainage,samawah:SAM-TRK-L1-001:qa-21-earthworks-drainage,samawah,SAM-TRK-L1-001,line-1 section 001,track-section,trk-20-subgrade-drainage,track-civil,qa-21-earthworks-drainage,civil works,"Compaction, capping layer, drainage, culverts, and fence lines accepted before trackform installation.","compaction test, material gradation, drainage as-built, culvert inspection, fence/gate punch list",civil QA lead,pass,yes,qa_action,required
samawah:SAM-EN-006:en-10-energy-build:VERIFY,samawah:SAM-EN-006:en-10-energy-build,samawah:SAM-EN-006:qa-25-power-energy,samawah,SAM-EN-006,energy site at line-1-0524-0427,energy,en-10-energy-build,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-ST-004:st-10-civil-structure:VERIFY,samawah:SAM-ST-004:st-10-civil-structure,samawah:SAM-ST-004:qa-24-stations-depots-plant,samawah,SAM-ST-004,ال معالي خلف السكة,station,st-10-civil-structure,stations,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-TRK-L1-003:trk-10-survey-utility:VERIFY,samawah:SAM-TRK-L1-003:trk-10-survey-utility,samawah:SAM-TRK-L1-003:qa-20-survey-geotech,samawah,SAM-TRK-L1-003,line-1 section 003,track-section,trk-10-survey-utility,track-civil,qa-20-survey-geotech,pre-construction,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction.","topographic survey, utility scan, borehole/test-pit log, flood/drainage map, ROW constraint register",civil owner engineer,pass,yes,qa_action,required
samawah:SAM-EN-005:en-20-energy-commission:VERIFY,samawah:SAM-EN-005:en-20-energy-commission,samawah:SAM-EN-005:qa-25-power-energy,samawah,SAM-EN-005,energy site at line-1-0581-0418,energy,en-20-energy-commission,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-ST-003:st-20-mep-passenger-systems:VERIFY,samawah:SAM-ST-003:st-20-mep-passenger-systems,samawah:SAM-ST-003:qa-24-stations-depots-plant,samawah,SAM-ST-003,الطمر الصحي,station,st-20-mep-passenger-systems,stations,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-TRK-L1-002:trk-20-subgrade-drainage:VERIFY,samawah:SAM-TRK-L1-002:trk-20-subgrade-drainage,samawah:SAM-TRK-L1-002:qa-21-earthworks-drainage,samawah,SAM-TRK-L1-002,line-1 section 002,track-section,trk-20-subgrade-drainage,track-civil,qa-21-earthworks-drainage,civil works,"Compaction, capping layer, drainage, culverts, and fence lines accepted before trackform installation.","compaction test, material gradation, drainage as-built, culvert inspection, fence/gate punch list",civil QA lead,pass,yes,qa_action,required
samawah:SAM-TRK-L1-004:trk-10-survey-utility:VERIFY,samawah:SAM-TRK-L1-004:trk-10-survey-utility,samawah:SAM-TRK-L1-004:qa-20-survey-geotech,samawah,SAM-TRK-L1-004,line-1 section 004,track-section,trk-10-survey-utility,track-civil,qa-20-survey-geotech,pre-construction,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction.","topographic survey, utility scan, borehole/test-pit log, flood/drainage map, ROW constraint register",civil owner engineer,pass,yes,qa_action,required
samawah:SAM-EN-007:en-10-energy-build:VERIFY,samawah:SAM-EN-007:en-10-energy-build,samawah:SAM-EN-007:qa-25-power-energy,samawah,SAM-EN-007,energy site at line-1-0493-0475,energy,en-10-energy-build,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-ST-005:st-10-civil-structure:VERIFY,samawah:SAM-ST-005:st-10-civil-structure,samawah:SAM-ST-005:qa-24-stations-depots-plant,samawah,SAM-ST-005,حي الاساتذة,station,st-10-civil-structure,stations,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-SW-001:sw-10-turnout-build:VERIFY,samawah:SAM-SW-001:sw-10-turnout-build,samawah:SAM-SW-001:qa-22-trackform-rail,samawah,SAM-SW-001,sw-line-1-0985-0109-tb,switch,sw-10-turnout-build,track-civil,qa-22-trackform-rail,track installation,"Track geometry, rail welds, fasteners, switch detection, and crossing protection accepted before energized testing.","track geometry run, weld NDT, fastener torque log, turnout detection test, crossing functional test",track acceptance engineer,pass,yes,qa_action,required
samawah:SAM-TRK-L1-001:trk-30-trackform-rail:VERIFY,samawah:SAM-TRK-L1-001:trk-30-trackform-rail,samawah:SAM-TRK-L1-001:qa-22-trackform-rail,samawah,SAM-TRK-L1-001,line-1 section 001,track-section,trk-30-trackform-rail,track-civil,qa-22-trackform-rail,track installation,"Track geometry, rail welds, fasteners, switch detection, and crossing protection accepted before energized testing.","track geometry run, weld NDT, fastener torque log, turnout detection test, crossing functional test",track acceptance engineer,pass,yes,qa_action,required
samawah:SAM-EN-006:en-20-energy-commission:VERIFY,samawah:SAM-EN-006:en-20-energy-commission,samawah:SAM-EN-006:qa-25-power-energy,samawah,SAM-EN-006,energy site at line-1-0524-0427,energy,en-20-energy-commission,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-ST-004:st-20-mep-passenger-systems:VERIFY,samawah:SAM-ST-004:st-20-mep-passenger-systems,samawah:SAM-ST-004:qa-24-stations-depots-plant,samawah,SAM-ST-004,ال معالي خلف السكة,station,st-20-mep-passenger-systems,stations,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-TRK-L1-003:trk-20-subgrade-drainage:VERIFY,samawah:SAM-TRK-L1-003:trk-20-subgrade-drainage,samawah:SAM-TRK-L1-003:qa-21-earthworks-drainage,samawah,SAM-TRK-L1-003,line-1 section 003,track-section,trk-20-subgrade-drainage,track-civil,qa-21-earthworks-drainage,civil works,"Compaction, capping layer, drainage, culverts, and fence lines accepted before trackform installation.","compaction test, material gradation, drainage as-built, culvert inspection, fence/gate punch list",civil QA lead,pass,yes,qa_action,required
samawah:SAM-SW-002:sw-10-turnout-build:VERIFY,samawah:SAM-SW-002:sw-10-turnout-build,samawah:SAM-SW-002:qa-22-trackform-rail,samawah,SAM-SW-002,sw-line-1-0147-0558-tb,switch,sw-10-turnout-build,track-civil,qa-22-trackform-rail,track installation,"Track geometry, rail welds, fasteners, switch detection, and crossing protection accepted before energized testing.","track geometry run, weld NDT, fastener torque log, turnout detection test, crossing functional test",track acceptance engineer,pass,yes,qa_action,required
samawah:SAM-TRK-L1-005:trk-10-survey-utility:VERIFY,samawah:SAM-TRK-L1-005:trk-10-survey-utility,samawah:SAM-TRK-L1-005:qa-20-survey-geotech,samawah,SAM-TRK-L1-005,line-1 section 005,track-section,trk-10-survey-utility,track-civil,qa-20-survey-geotech,pre-construction,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction.","topographic survey, utility scan, borehole/test-pit log, flood/drainage map, ROW constraint register",civil owner engineer,pass,yes,qa_action,required
samawah:SAM-TRK-L1-002:trk-30-trackform-rail:VERIFY,samawah:SAM-TRK-L1-002:trk-30-trackform-rail,samawah:SAM-TRK-L1-002:qa-22-trackform-rail,samawah,SAM-TRK-L1-002,line-1 section 002,track-section,trk-30-trackform-rail,track-civil,qa-22-trackform-rail,track installation,"Track geometry, rail welds, fasteners, switch detection, and crossing protection accepted before energized testing.","track geometry run, weld NDT, fastener torque log, turnout detection test, crossing functional test",track acceptance engineer,pass,yes,qa_action,required
samawah:SAM-EN-008:en-10-energy-build:VERIFY,samawah:SAM-EN-008:en-10-energy-build,samawah:SAM-EN-008:qa-25-power-energy,samawah,SAM-EN-008,energy site at line-1-0425-0475,energy,en-10-energy-build,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-ST-006:st-10-civil-structure:VERIFY,samawah:SAM-ST-006:st-10-civil-structure,samawah:SAM-ST-006:qa-24-stations-depots-plant,samawah,SAM-ST-006,حي 270 دار,station,st-10-civil-structure,stations,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
