bucket,line_id,description,quantity,source,base_usd,cost_low_usd,cost_high_usd,cost_basis,notes
Bogies (6 per consist),G9,Electromagnetic brake caliper,24,BID,12000,9000,19800,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Alibaba caliper proxy; rail electromagnetic caliper RFQ required
Bogies (6 per consist),G10,Park-brake spring assembly,24,SOURCE,2400,2040,3240,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba rail spring anchor; caliper integration remains G9
Bogies (6 per consist),G11,Centre-pin ring bearing + PTFE slider,6,SOURCE,3000,2550,4050,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba heavy bearing/PTFE slider anchor
Bogies (6 per consist),G12,Yaw-restraint link + bushes,12,SOURCE,1800,1530,2430,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba rail bushing/link anchor
Bogies (6 per consist),G13,Cable-guide + centre-pin assembly,6,MAKE,3000,2400,4350,Local fabrication estimate band; replace with shop-route quote and labour-rate pack.,Marketplace rail-part fabrication proxy
Bogies (6 per consist),G14,Wheel-tach (quadrature encoder),12,SOURCE,600,510,810,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba/AliExpress encoder anchor; rail harnessing in G17
Bogies (6 per consist),G15,Axle bearing temp sensor,24,SOURCE,500,425,675,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Commodity sealed temperature-sensor anchor
Bogies (6 per consist),G16,Brake pad / friction lining kit,12 axle sets,SOURCE,1500,1275,2025,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,"Alibaba rail brake-pad anchor; commissioning set, per disc"
Bogies (6 per consist),G17,WSP + brake control harness,6,MAKE,3000,2400,4350,Local fabrication estimate band; replace with shop-route quote and labour-rate pack.,"Tacho, caliper command, temp sensor loom"
Bogies (6 per consist),G18,Motor cradle + torque-link weldment,2 powered bogies,MAKE,4000,3200,5800,Local fabrication estimate band; replace with shop-route quote and labour-rate pack.,Alibaba machined/welded steel proxy; uses RFC 0022 motor mount datum
Bogies (6 per consist),G19,Flexible gear coupling / torque flange set,4,BID,2000,1500,3300,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Alibaba industrial coupling anchor; motor-to-reduction gear interface
Bogies (6 per consist),G20,Bogie inspection covers and guards,6,MAKE,3000,2400,4350,Local fabrication estimate band; replace with shop-route quote and labour-rate pack.,Removable non-structural covers
Traction + power,T1,PMSM axle motor (150 kW peak),4,BID,30000,22500,49500,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Alibaba 150 kW EV PMSM anchor plus rail mounting/cooling allowance
Traction + power,T2,Reduction gear (single-stage 6.5:1),4,BID,10000,7500,16500,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Alibaba industrial gearbox proxy; matches RFC 0008 / gearbox.py
Traction + power,T3,SiC inverter (300 kW peak),2,BID,15000,11250,24750,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Alibaba EV/PCS inverter proxy; one per powered bogie
Traction + power,T4,Cold-plate + chiller for traction,3,SOURCE,6000,5100,8100,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba EV cooling-module anchor
Traction + power,T5,Na-ion under-seat pack (150 kWh usable),3,BID,45000,33750,74250,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Alibaba 150 kWh battery-pack anchor; rail battery certification excluded
Traction + power,T6,BMS electronics (pack-level),3,BID,4500,3375,7425,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,"Commodity pack-BMS anchor; rail battery supplier must verify HVIL, thermal, and fire-path interfaces"
Traction + power,T7,Pack cooling plate set,3,SOURCE,2000,1700,2700,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba battery cold-plate anchor
Traction + power,T8,Under-seat aluminium module enclosure set,3,MAKE,6000,4800,8700,Local fabrication estimate band; replace with shop-route quote and labour-rate pack.,Alibaba aluminium battery-box fabrication proxy
Traction + power,T9,Aspirating smoke detector (battery + traction bay),6,SOURCE,10800,9180,14580,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba aspirating smoke-detector anchor; rail detector certificate required
Traction + power,T10,"Fire suppression (aerosol, auto-discharge)",6,SOURCE,3000,2550,4050,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba aerosol fire-suppression anchor; EN 45545/rolling-stock approval required
Traction + power,T11,HV contactor + bus bar set,3,SOURCE,3000,2550,4050,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba/AliExpress 1 000 V DC contactor anchor plus copper busbar
Traction + power,T12,Station charging side-pin connector,3,SOURCE,4500,3825,6075,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba 30 kW DC module/EV connector proxy; pantograph-down alternate per site
Traction + power,T13,Aux inverter (400 V / 110 V / 24 V),3,SOURCE,6000,5100,8100,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba EV auxiliary converter / PCS anchor
Traction + power,T14,"COTS packaged roof HVAC unit (20 kW each, per car)",3,BID,12000,9000,19800,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Alibaba electric bus roof-HVAC anchor; rail certification still required
Traction + power,T15,Regen dump resistor (roof-mount),1,SOURCE,1000,850,1350,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba braking-resistor proxy
Traction + power,T16,"Battery module service disconnect, fuses, and contactors",24 module positions,SOURCE,2400,2040,3240,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba/AliExpress HV contactor/fuse anchor; 8 modules per car per traction.md
Traction + power,T17,Battery vent duct + fire exhaust path,3 cars,MAKE,3000,2400,4350,Local fabrication estimate band; replace with shop-route quote and labour-rate pack.,"Alibaba sheet-metal duct proxy; side vent, intumescent edge seals"
Traction + power,T18,"HV cable, bonding strap, and EMC filter set",3 cars,MAKE,12000,9600,17400,Local fabrication estimate band; replace with shop-route quote and labour-rate pack.,"Alibaba HV cable/harness proxy; 1 500 V DC pack, inverter, charger, and roof PV paths"
Traction + power,T19,Station-charge connector actuator + contact monitor,3,BID,3000,2250,4950,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Commodity actuator/sensor anchor; completes side-pin connector line T12
Traction + power,T20,"Coolant pump, hose, manifold, and bleed kit",3 cars,SOURCE,2500,2125,3375,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,"Alibaba EV coolant-pump/hose anchor; battery, inverter, motor, HVAC tie-in"
Traction + power,T21,Commodity full-roof solar panel set,3 cars,SOURCE,6000,5100,8100,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba 400 W rigid/flexible solar-panel anchors; sixteen modules per car
Traction + power,T22,"Roof solar mounts, MPPT combiner, isolation, and roof harness",3 cars,SOURCE,6000,5100,8100,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,"Alibaba roof-mount/combiner/MPPT proxies; bond pads, raised rails, edge clamps, junction boxes, fire-isolation labels"
Traction + power,T23,Multi-input PV/station battery charge inverter,3,SOURCE,12000,10200,16200,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba 30 kW DC charge-module stack accepts roof PV MPPT and station dock DC; contactors/cooling/harness covered by T11/T18/T20
Electronics + safety,E1,T-ECU/S board (2× RP2350 + CM5),2,BID,1200,900,1980,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Alibaba PCB-assembly proxy; custom baseboard per RFC 0007 §4
Electronics + safety,E2,T-ECU/A board (CM5),2,BID,1500,1125,2475,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,"Alibaba PCB-assembly proxy; RFC 0007 standard, two units per consist"
Electronics + safety,E3,ADIS16505 IMU (or BMI088),2,SOURCE,200,170,270,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,AliExpress/PriceArchive IMU-module proxy
Electronics + safety,E4,u-blox NEO-F10N GNSS,2,SOURCE,100,85,135,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,AliExpress/PriceArchive GNSS module proxy
Electronics + safety,E5,PN5180 NFC balise reader,1,SOURCE,20,17,27,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,AliExpress/PriceArchive PN5180 proxy
Electronics + safety,E6,ATECC608B SE chip (on T-ECU/S + T-ECU/A carriers),6,SOURCE,20,17,27,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,AliExpress/PriceArchive secure-element proxy; T-OBS anchors included inside E18
Electronics + safety,E7,Cat.22 5G M.2 module,1,SOURCE,200,170,270,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,AliExpress/PriceArchive 5G module proxy
Electronics + safety,E8,LoRa SX1276 breakout,1,SOURCE,20,17,27,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,PriceArchive SX1276 LoRa module anchor
Electronics + safety,E9,NVMe SSD 256 GB (event recorder),1,SOURCE,40,34,54,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,AliExpress/PriceArchive NVMe proxy
Electronics + safety,E10,"10.1"" maintenance/service touchscreen",2,SOURCE,300,255,405,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,"AliExpress/Alibaba industrial touchscreen anchor; hidden end-cabinet HMI, not a driver cab"
Electronics + safety,E11,Depot manual-control pendant + keyed enable,2,BID,500,375,825,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Alibaba industrial pendant/switch proxy; normally stowed
Electronics + safety,E12,Emergency plunger (hardwired),2,SOURCE,40,34,54,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,AliExpress/Alibaba emergency switch proxy
Electronics + safety,E13,Depot enable key-switch and guarded motion consent,2,SOURCE,100,85,135,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba keyed-switch/guarded-switch proxy
Electronics + safety,E14,PIS display (exterior + interior),12,SOURCE,3000,2550,4050,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba bus/metro LCD/LED display anchor
Electronics + safety,E15,CCTV camera (forward + door-sill + in-car),20,SOURCE,600,510,810,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba bus CCTV plus AliExpress PoE camera anchor
Electronics + safety,E16,2oo2 relay stage (per safety output),4,SOURCE,200,170,270,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba safety-relay proxy
Electronics + safety,E17,"Cable harness (pre-terminated, per car)",3,MAKE,9000,7200,13050,Local fabrication estimate band; replace with shop-route quote and labour-rate pack.,Alibaba wiring-harness fabrication proxy
Electronics + safety,E18,T-OBS complete nose module,2,BID,8000,6000,13200,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Alibaba industrial-LIDAR/camera/radar proxy; rail T-OBS supplier RFQ required
Electronics + safety,E19,"Sensor-window heater, washer, and service cover kit",2,SOURCE,1000,850,1350,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Commodity washer/heater actuator anchor; keeps nose sensors inspectable in service
Electronics + safety,E20,Door-sill camera / obstruction sensor harness,12 doors,MAKE,3000,2400,4350,Local fabrication estimate band; replace with shop-route quote and labour-rate pack.,Alibaba harness/camera proxy; ties doors to CCTV + door control
Electronics + safety,E21,Roof antenna kit,set,SOURCE,300,255,405,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,"Alibaba/AliExpress multi-antenna anchor; 5G MIMO, LoRa, GNSS, public-safety blank"
Electronics + safety,E22,"DIN cabinets, power distribution, and terminal blocks",3 cars,MAKE,3000,2400,4350,Local fabrication estimate band; replace with shop-route quote and labour-rate pack.,"Alibaba DIN cabinet/terminal-block proxy; T-ECU, BMS, door, HVAC cabinets"
Electronics + safety,E23,Crashworthy event-recorder memory module,1,SOURCE,2000,1700,2700,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba rugged recorder/SSD proxy; complements E9 NVMe operational recorder
"Safety, accessibility, and maintainability",A1,Wheelchair bay fixtures + passenger call buttons,6 bays,SOURCE,1000,850,1350,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba accessibility fixture/call-button anchor; two PRM spaces per car
"Safety, accessibility, and maintainability",A2,Tactile / visual safety signage and labels,set,SOURCE,500,425,675,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,"Alibaba safety-label/signage anchor; doors, emergency, high-voltage, lift points"
"Safety, accessibility, and maintainability",A3,Emergency lighting + exit marker kit,3 cars,SOURCE,1000,850,1350,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,"Alibaba/AliExpress emergency LED anchor; battery-backed, EN 45545 materials"
"Safety, accessibility, and maintainability",A4,"Fire extinguisher, first-aid, and incident-seal kit",set,SOURCE,500,425,675,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Marketplace consumables anchor; operator restocks consumables
