evidence_id,city,asset_id,asset_name,asset_type,manufacturing_uid,package_id,phase,qa_uid,qa_gate_id,qa_stage,hold_point,required_result,release_authority,evidence_required,blocks_successors,predecessor_uids,material_count,material_sources,acceptance_use
samawah:SAM-EN-004:en-10-energy-build:VERIFY,samawah,SAM-EN-004,energy site at line-1-0352-0525-s004655,energy,samawah:SAM-EN-004:en-10-energy-build,en-10-energy-build,energy,samawah:SAM-EN-004:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,samawah:SAM-SYS-001:sys-00-baseline-freeze,6,project_kit:6,"energy, charging, earthing, protection, and interconnection acceptance"
samawah:SAM-ST-002:st-10-civil-structure:VERIFY,samawah,SAM-ST-002,جامعة ساوة,station,samawah:SAM-ST-002:st-10-civil-structure,st-10-civil-structure,stations,samawah:SAM-ST-002:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,samawah:SAM-TRK-L1-001:trk-10-survey-utility,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
samawah:SAM-EN-003:en-20-energy-commission:VERIFY,samawah,SAM-EN-003,energy site at line-1-0295-0517-s003449,energy,samawah:SAM-EN-003:en-20-energy-commission,en-20-energy-commission,energy,samawah:SAM-EN-003:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,samawah:SAM-EN-003:en-10-energy-build,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
samawah:SAM-ST-001:st-20-mep-passenger-systems:VERIFY,samawah,SAM-ST-001,الشنابرة,station,samawah:SAM-ST-001:st-20-mep-passenger-systems,st-20-mep-passenger-systems,stations,samawah:SAM-ST-001:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,samawah:SAM-ST-001:st-10-civil-structure,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
samawah:SAM-TRK-L1-001:trk-10-survey-utility:VERIFY,samawah,SAM-TRK-L1-001,line-1 section 001,track-section,samawah:SAM-TRK-L1-001:trk-10-survey-utility,trk-10-survey-utility,track-civil,samawah:SAM-TRK-L1-001:qa-20-survey-geotech,qa-20-survey-geotech,pre-construction,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction.",pass,civil owner engineer,"topographic survey, utility scan, borehole/test-pit log, flood/drainage map, ROW constraint register",yes,samawah:SAM-SYS-001:sys-00-baseline-freeze,3,project_kit:3,"civil, track, switch, and route-section acceptance"
samawah:SAM-EN-005:en-10-energy-build:VERIFY,samawah,SAM-EN-005,energy site at line-1-0371-0479-s006059,energy,samawah:SAM-EN-005:en-10-energy-build,en-10-energy-build,energy,samawah:SAM-EN-005:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,samawah:SAM-SYS-001:sys-00-baseline-freeze,6,project_kit:6,"energy, charging, earthing, protection, and interconnection acceptance"
samawah:SAM-ST-003:st-10-civil-structure:VERIFY,samawah,SAM-ST-003,ام الهوش,station,samawah:SAM-ST-003:st-10-civil-structure,st-10-civil-structure,stations,samawah:SAM-ST-003:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,samawah:SAM-TRK-L1-002:trk-10-survey-utility,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
samawah:SAM-EN-004:en-20-energy-commission:VERIFY,samawah,SAM-EN-004,energy site at line-1-0352-0525-s004655,energy,samawah:SAM-EN-004:en-20-energy-commission,en-20-energy-commission,energy,samawah:SAM-EN-004:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,samawah:SAM-EN-004:en-10-energy-build,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
samawah:SAM-ST-002:st-20-mep-passenger-systems:VERIFY,samawah,SAM-ST-002,جامعة ساوة,station,samawah:SAM-ST-002:st-20-mep-passenger-systems,st-20-mep-passenger-systems,stations,samawah:SAM-ST-002:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,samawah:SAM-ST-002:st-10-civil-structure,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
samawah:SAM-TRK-L1-002:trk-10-survey-utility:VERIFY,samawah,SAM-TRK-L1-002,line-1 section 002,track-section,samawah:SAM-TRK-L1-002:trk-10-survey-utility,trk-10-survey-utility,track-civil,samawah:SAM-TRK-L1-002:qa-20-survey-geotech,qa-20-survey-geotech,pre-construction,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction.",pass,civil owner engineer,"topographic survey, utility scan, borehole/test-pit log, flood/drainage map, ROW constraint register",yes,samawah:SAM-SYS-001:sys-00-baseline-freeze,3,project_kit:3,"civil, track, switch, and route-section acceptance"
samawah:SAM-TRK-L1-001:trk-20-subgrade-drainage:VERIFY,samawah,SAM-TRK-L1-001,line-1 section 001,track-section,samawah:SAM-TRK-L1-001:trk-20-subgrade-drainage,trk-20-subgrade-drainage,track-civil,samawah:SAM-TRK-L1-001:qa-21-earthworks-drainage,qa-21-earthworks-drainage,civil works,"Compaction, capping layer, drainage, culverts, and fence lines accepted before trackform installation.",pass,civil QA lead,"compaction test, material gradation, drainage as-built, culvert inspection, fence/gate punch list",yes,samawah:SAM-TRK-L1-001:trk-10-survey-utility,5,project_kit:5,"civil, track, switch, and route-section acceptance"
samawah:SAM-EN-006:en-10-energy-build:VERIFY,samawah,SAM-EN-006,energy site at line-1-0419-0475-s007291,energy,samawah:SAM-EN-006:en-10-energy-build,en-10-energy-build,energy,samawah:SAM-EN-006:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,samawah:SAM-SYS-001:sys-00-baseline-freeze,6,project_kit:6,"energy, charging, earthing, protection, and interconnection acceptance"
samawah:SAM-ST-004:st-10-civil-structure:VERIFY,samawah,SAM-ST-004,كلية التربية الاساسية,station,samawah:SAM-ST-004:st-10-civil-structure,st-10-civil-structure,stations,samawah:SAM-ST-004:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,samawah:SAM-TRK-L1-003:trk-10-survey-utility,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
samawah:SAM-TRK-L1-003:trk-10-survey-utility:VERIFY,samawah,SAM-TRK-L1-003,line-1 section 003,track-section,samawah:SAM-TRK-L1-003:trk-10-survey-utility,trk-10-survey-utility,track-civil,samawah:SAM-TRK-L1-003:qa-20-survey-geotech,qa-20-survey-geotech,pre-construction,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction.",pass,civil owner engineer,"topographic survey, utility scan, borehole/test-pit log, flood/drainage map, ROW constraint register",yes,samawah:SAM-SYS-001:sys-00-baseline-freeze,3,project_kit:3,"civil, track, switch, and route-section acceptance"
samawah:SAM-EN-005:en-20-energy-commission:VERIFY,samawah,SAM-EN-005,energy site at line-1-0371-0479-s006059,energy,samawah:SAM-EN-005:en-20-energy-commission,en-20-energy-commission,energy,samawah:SAM-EN-005:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,samawah:SAM-EN-005:en-10-energy-build,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
samawah:SAM-ST-003:st-20-mep-passenger-systems:VERIFY,samawah,SAM-ST-003,ام الهوش,station,samawah:SAM-ST-003:st-20-mep-passenger-systems,st-20-mep-passenger-systems,stations,samawah:SAM-ST-003:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,samawah:SAM-ST-003:st-10-civil-structure,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
samawah:SAM-TRK-L1-002:trk-20-subgrade-drainage:VERIFY,samawah,SAM-TRK-L1-002,line-1 section 002,track-section,samawah:SAM-TRK-L1-002:trk-20-subgrade-drainage,trk-20-subgrade-drainage,track-civil,samawah:SAM-TRK-L1-002:qa-21-earthworks-drainage,qa-21-earthworks-drainage,civil works,"Compaction, capping layer, drainage, culverts, and fence lines accepted before trackform installation.",pass,civil QA lead,"compaction test, material gradation, drainage as-built, culvert inspection, fence/gate punch list",yes,samawah:SAM-TRK-L1-002:trk-10-survey-utility,5,project_kit:5,"civil, track, switch, and route-section acceptance"
samawah:SAM-TRK-L1-004:trk-10-survey-utility:VERIFY,samawah,SAM-TRK-L1-004,line-1 section 004,track-section,samawah:SAM-TRK-L1-004:trk-10-survey-utility,trk-10-survey-utility,track-civil,samawah:SAM-TRK-L1-004:qa-20-survey-geotech,qa-20-survey-geotech,pre-construction,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction.",pass,civil owner engineer,"topographic survey, utility scan, borehole/test-pit log, flood/drainage map, ROW constraint register",yes,samawah:SAM-SYS-001:sys-00-baseline-freeze,3,project_kit:3,"civil, track, switch, and route-section acceptance"
samawah:SAM-EN-007:en-10-energy-build:VERIFY,samawah,SAM-EN-007,energy site at line-1-0493-0475-s009151,energy,samawah:SAM-EN-007:en-10-energy-build,en-10-energy-build,energy,samawah:SAM-EN-007:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,samawah:SAM-SYS-001:sys-00-baseline-freeze,6,project_kit:6,"energy, charging, earthing, protection, and interconnection acceptance"
samawah:SAM-ST-005:st-10-civil-structure:VERIFY,samawah,SAM-ST-005,line-1-0371-0479-s006059,station,samawah:SAM-ST-005:st-10-civil-structure,st-10-civil-structure,stations,samawah:SAM-ST-005:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,samawah:SAM-TRK-L1-004:trk-10-survey-utility,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
samawah:SAM-SW-001:sw-10-turnout-build:VERIFY,samawah,SAM-SW-001,sw-line-1-0147-0558-s000000-tb,switch,samawah:SAM-SW-001:sw-10-turnout-build,sw-10-turnout-build,track-civil,samawah:SAM-SW-001:qa-22-trackform-rail,qa-22-trackform-rail,track installation,"Track geometry, rail welds, fasteners, switch detection, and crossing protection accepted before energized testing.",pass,track acceptance engineer,"track geometry run, weld NDT, fastener torque log, turnout detection test, crossing functional test",yes,samawah:SAM-SYS-001:sys-00-baseline-freeze,4,project_kit:4,"civil, track, switch, and route-section acceptance"
samawah:SAM-TRK-L1-001:trk-30-trackform-rail:VERIFY,samawah,SAM-TRK-L1-001,line-1 section 001,track-section,samawah:SAM-TRK-L1-001:trk-30-trackform-rail,trk-30-trackform-rail,track-civil,samawah:SAM-TRK-L1-001:qa-22-trackform-rail,qa-22-trackform-rail,track installation,"Track geometry, rail welds, fasteners, switch detection, and crossing protection accepted before energized testing.",pass,track acceptance engineer,"track geometry run, weld NDT, fastener torque log, turnout detection test, crossing functional test",yes,samawah:SAM-TRK-L1-001:trk-20-subgrade-drainage,5,project_kit:5,"civil, track, switch, and route-section acceptance"
samawah:SAM-EN-006:en-20-energy-commission:VERIFY,samawah,SAM-EN-006,energy site at line-1-0419-0475-s007291,energy,samawah:SAM-EN-006:en-20-energy-commission,en-20-energy-commission,energy,samawah:SAM-EN-006:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,samawah:SAM-EN-006:en-10-energy-build,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
samawah:SAM-ST-004:st-20-mep-passenger-systems:VERIFY,samawah,SAM-ST-004,كلية التربية الاساسية,station,samawah:SAM-ST-004:st-20-mep-passenger-systems,st-20-mep-passenger-systems,stations,samawah:SAM-ST-004:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,samawah:SAM-ST-004:st-10-civil-structure,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
samawah:SAM-TRK-L1-003:trk-20-subgrade-drainage:VERIFY,samawah,SAM-TRK-L1-003,line-1 section 003,track-section,samawah:SAM-TRK-L1-003:trk-20-subgrade-drainage,trk-20-subgrade-drainage,track-civil,samawah:SAM-TRK-L1-003:qa-21-earthworks-drainage,qa-21-earthworks-drainage,civil works,"Compaction, capping layer, drainage, culverts, and fence lines accepted before trackform installation.",pass,civil QA lead,"compaction test, material gradation, drainage as-built, culvert inspection, fence/gate punch list",yes,samawah:SAM-TRK-L1-003:trk-10-survey-utility,5,project_kit:5,"civil, track, switch, and route-section acceptance"
samawah:SAM-SW-002:sw-10-turnout-build:VERIFY,samawah,SAM-SW-002,sw-line-1-0985-0109-s025566-tb,switch,samawah:SAM-SW-002:sw-10-turnout-build,sw-10-turnout-build,track-civil,samawah:SAM-SW-002:qa-22-trackform-rail,qa-22-trackform-rail,track installation,"Track geometry, rail welds, fasteners, switch detection, and crossing protection accepted before energized testing.",pass,track acceptance engineer,"track geometry run, weld NDT, fastener torque log, turnout detection test, crossing functional test",yes,samawah:SAM-SYS-001:sys-00-baseline-freeze,4,project_kit:4,"civil, track, switch, and route-section acceptance"
samawah:SAM-TRK-L1-005:trk-10-survey-utility:VERIFY,samawah,SAM-TRK-L1-005,line-1 section 005,track-section,samawah:SAM-TRK-L1-005:trk-10-survey-utility,trk-10-survey-utility,track-civil,samawah:SAM-TRK-L1-005:qa-20-survey-geotech,qa-20-survey-geotech,pre-construction,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction.",pass,civil owner engineer,"topographic survey, utility scan, borehole/test-pit log, flood/drainage map, ROW constraint register",yes,samawah:SAM-SYS-001:sys-00-baseline-freeze,3,project_kit:3,"civil, track, switch, and route-section acceptance"
samawah:SAM-TRK-L1-002:trk-30-trackform-rail:VERIFY,samawah,SAM-TRK-L1-002,line-1 section 002,track-section,samawah:SAM-TRK-L1-002:trk-30-trackform-rail,trk-30-trackform-rail,track-civil,samawah:SAM-TRK-L1-002:qa-22-trackform-rail,qa-22-trackform-rail,track installation,"Track geometry, rail welds, fasteners, switch detection, and crossing protection accepted before energized testing.",pass,track acceptance engineer,"track geometry run, weld NDT, fastener torque log, turnout detection test, crossing functional test",yes,samawah:SAM-TRK-L1-002:trk-20-subgrade-drainage,5,project_kit:5,"civil, track, switch, and route-section acceptance"
samawah:SAM-EN-008:en-10-energy-build:VERIFY,samawah,SAM-EN-008,energy site at line-1-0519-0428-s010925,energy,samawah:SAM-EN-008:en-10-energy-build,en-10-energy-build,energy,samawah:SAM-EN-008:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,samawah:SAM-SYS-001:sys-00-baseline-freeze,6,project_kit:6,"energy, charging, earthing, protection, and interconnection acceptance"
samawah:SAM-ST-006:st-10-civil-structure:VERIFY,samawah,SAM-ST-006,بساتين محمد علي,station,samawah:SAM-ST-006:st-10-civil-structure,st-10-civil-structure,stations,samawah:SAM-ST-006:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,samawah:SAM-TRK-L1-005:trk-10-survey-utility,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
samawah:SAM-SW-003:sw-10-turnout-build:VERIFY,samawah,SAM-SW-003,sw-line-1-0985-0109-s025566-yd-01,switch,samawah:SAM-SW-003:sw-10-turnout-build,sw-10-turnout-build,track-civil,samawah:SAM-SW-003:qa-22-trackform-rail,qa-22-trackform-rail,track installation,"Track geometry, rail welds, fasteners, switch detection, and crossing protection accepted before energized testing.",pass,track acceptance engineer,"track geometry run, weld NDT, fastener torque log, turnout detection test, crossing functional test",yes,samawah:SAM-SYS-001:sys-00-baseline-freeze,4,project_kit:4,"civil, track, switch, and route-section acceptance"
samawah:SAM-TRK-L1-004:trk-20-subgrade-drainage:VERIFY,samawah,SAM-TRK-L1-004,line-1 section 004,track-section,samawah:SAM-TRK-L1-004:trk-20-subgrade-drainage,trk-20-subgrade-drainage,track-civil,samawah:SAM-TRK-L1-004:qa-21-earthworks-drainage,qa-21-earthworks-drainage,civil works,"Compaction, capping layer, drainage, culverts, and fence lines accepted before trackform installation.",pass,civil QA lead,"compaction test, material gradation, drainage as-built, culvert inspection, fence/gate punch list",yes,samawah:SAM-TRK-L1-004:trk-10-survey-utility,5,project_kit:5,"civil, track, switch, and route-section acceptance"
samawah:SAM-EN-007:en-20-energy-commission:VERIFY,samawah,SAM-EN-007,energy site at line-1-0493-0475-s009151,energy,samawah:SAM-EN-007:en-20-energy-commission,en-20-energy-commission,energy,samawah:SAM-EN-007:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,samawah:SAM-EN-007:en-10-energy-build,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
samawah:SAM-ST-005:st-20-mep-passenger-systems:VERIFY,samawah,SAM-ST-005,line-1-0371-0479-s006059,station,samawah:SAM-ST-005:st-20-mep-passenger-systems,st-20-mep-passenger-systems,stations,samawah:SAM-ST-005:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,samawah:SAM-ST-005:st-10-civil-structure,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
samawah:SAM-SW-001:sw-20-install-proof:VERIFY,samawah,SAM-SW-001,sw-line-1-0147-0558-s000000-tb,switch,samawah:SAM-SW-001:sw-20-install-proof,sw-20-install-proof,track-civil,samawah:SAM-SW-001:qa-22-trackform-rail,qa-22-trackform-rail,track installation,"Track geometry, rail welds, fasteners, switch detection, and crossing protection accepted before energized testing.",pass,track acceptance engineer,"track geometry run, weld NDT, fastener torque log, turnout detection test, crossing functional test",yes,samawah:SAM-SW-001:sw-10-turnout-build; samawah:SAM-TRK-L1-001:trk-30-trackform-rail,4,project_kit:4,"civil, track, switch, and route-section acceptance"
samawah:SAM-TRK-L1-006:trk-10-survey-utility:VERIFY,samawah,SAM-TRK-L1-006,line-1 section 006,track-section,samawah:SAM-TRK-L1-006:trk-10-survey-utility,trk-10-survey-utility,track-civil,samawah:SAM-TRK-L1-006:qa-20-survey-geotech,qa-20-survey-geotech,pre-construction,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction.",pass,civil owner engineer,"topographic survey, utility scan, borehole/test-pit log, flood/drainage map, ROW constraint register",yes,samawah:SAM-SYS-001:sys-00-baseline-freeze,3,project_kit:3,"civil, track, switch, and route-section acceptance"
